n_row,new_switch,cur_switch,current_model_id,new_model_id,weights,ts,ret_ts,ts_n1_pre,ts_n2_pre,ts_n1_post,ts_n2_post
0,NONE,NONE,1,-1,"(1, 0)",227.47200646944404,0.00021096428091720623,227.47215677271086,241.34969438698496,226.93445434402292,227.42732499062345
1,NONE,NONE,1,-1,"(1, 0)",227.42402306274084,0.00021096428091720623,227.42332137012008,172.4814025975511,204.6596578051819,225.53144360855543
2,NONE,NONE,1,-1,"(1, 0)",227.37604977775482,0.00021096428091720623,227.37613903476424,235.51803585570883,219.53998368074812,226.72443895799265
3,NONE,NONE,1,-1,"(1, 0)",227.3280866123509,0.00021096428091720623,227.3291496662465,345.676529462472,259.68345354112466,230.01917614105673
4,NONE,NONE,1,-1,"(1, 0)",227.31538127642594,5.589142625221152e-05,227.31626266131732,263.7963949292073,239.07185654096455,228.29325600971728
5,NONE,NONE,1,-1,"(1, 0)",227.30058225533926,6.510559363963413e-05,227.30055308693193,82.41837335200994,219.58957249726402,226.6591576464146
6,NONE,NONE,1,-1,"(1, 0)",227.2824850846667,7.962096251414483e-05,227.28336232669548,212.46142075403154,234.56115249992632,227.88799438750846
7,NONE,NONE,1,-1,"(1, 0)",227.2641585031893,8.063674760726675e-05,227.2636152072085,49.06400235111663,217.52405505515208,226.4538180240436
8,NONE,NONE,1,-1,"(1, 0)",227.2482691704059,6.991814446604312e-05,227.24781150731835,54.32112919387155,232.08147761450778,227.65040230116722
9,NONE,NONE,1,-1,"(1, 0)",227.23419367909938,6.194074562435635e-05,227.23336505250313,32.99919062881163,233.1985081942511,227.7304679579457
10,NONE,NONE,1,-1,"(1, 0)",227.21801004083812,7.122261982928076e-05,227.2178399182076,71.21545664802626,223.21569209900073,226.8849644048245
11,NONE,NONE,1,-1,"(1, 0)",227.19941829012612,8.182675031048578e-05,227.2005264771883,261.3045076364513,211.86059623923614,225.92292155718036
12,NONE,NONE,1,-1,"(1, 0)",227.18180970282896,7.750578686430316e-05,227.1820389956881,101.69102047721555,224.11136924389484,226.92626785026414
13,NONE,NONE,1,-1,"(1, 0)",227.1671181944811,6.467059764388112e-05,227.16736391786236,103.85956747766532,226.1835168385532,227.08525125336752
14,NONE,NONE,1,-1,"(1, 0)",227.1525466955932,6.414645906381087e-05,227.1519294118558,33.89092515490329,229.19297490852168,227.32238616454848
15,NONE,NONE,1,-1,"(1, 0)",227.13514499272577,7.661093705303894e-05,227.13360103567996,12.380395776647935,221.40822669373688,226.658416002464
