date;rsi_10;mom_10;ema_5;ema_10;ema_20;ema_30;sma_5;sma_10;sma_20;sma_30;wma_5;wma_10;wma_20;wma_30;trima_5;trima_10;trima_20;trima_30;roc_10;rocr_10;adosc_10;ppo_10;volume;volume_t-1;volume_t-2;volume_t-3;volume_t-4;close;close_t-1;close_t-2;close_t-3;close_t-4;high;high_t-1;high_t-2;high_t-3;high_t-4;open;open_t-1;open_t-2;open_t-3;open_t-4;low;low_t-1;low_t-2;low_t-3;low_t-4;label
;0.0;-0.1656339628017065;;226.97893771104034;227.0638412463554;227.14853632079817;;226.97838251241143;227.06054268662643;227.14853632079817;;226.95397269434838;227.00859671471017;227.06391788956776;;226.9783781024326;227.06047398940834;227.14379008890384;-0.07294387585645712;0.9992705612414354;;-0.05055877852967613;;;;;;226.9047826512556;226.92280018350476;226.9378414602695;226.9520975960025;226.96900988100757;;;;;;;;;;;;;;;;0
;0.0;-0.16567778453901383;;226.96210508473487;227.04693810540348;227.13162160760862;;226.96181473395754;227.04396009790253;227.12901471402876;;226.93724101324815;226.99200772230387;227.0470031763782;;226.96193099594322;227.04402961423708;227.12661936084973;-0.07296908119417411;0.9992703091880583;;-0.05062191581629762;;;;;;226.88635826636028;226.9047826512556;226.92280018350476;226.9378414602695;226.9520975960025;;;;;;;;;;;;;;;;0
;0.0;-0.16322675546706478;;226.9454961572849;227.03015885572316;227.11479156736033;;226.94549205841085;227.02752698258422;227.11057247806272;;226.92068487684864;226.97551209238557;227.0303413228125;;226.94554004137547;227.0276102139247;227.1098284581009;-0.07189529668540917;0.9992810470331459;;-0.050672548412936766;;;;;;226.87075598376012;226.88635826636028;226.9047826512556;226.92280018350476;226.9378414602695;;;;;;;;;;;;;;;;0
;0.0;-0.16217822470230203;;226.92935091944446;227.01363871224117;227.09814032747659;;226.9292742359406;227.0112713649009;227.09326073044298;;226.904540384258;226.95924260348824;227.01396228223828;;226.9291737878783;227.0112204256686;227.09330482900077;-0.07143821159907304;0.9992856178840093;;-0.05063294316163254;;;;;;226.85669734916237;226.87075598376012;226.88635826636028;226.9047826512556;226.92280018350476;;;;;;;;;;;;;;;;0
;0.0;-0.1641956028617244;;226.91318378930015;226.99714280666112;227.0815139646491;;226.91285467565444;226.9949370403594;227.07700556681965;;226.88838719656894;226.94297215955964;226.99765073212268;;226.91276305550585;226.99481916946797;227.07690776986246;-0.07233139024960256;0.999276686097504;;-0.05056261327296102;;;;;;226.8404317036507;226.85669734916237;226.87075598376012;226.88635826636028;226.9047826512556;;;;;;;;;;;;;;;;0
;0.0;-0.16603797029978296;;226.89655650238578;226.98043717852875;227.06475394830215;;226.89625087862447;226.97839639114326;227.06055064798116;;226.87181974849926;226.92647660440838;226.98118158015183;;226.89631159590084;226.9783856670644;227.06048327059094;-0.07314842075841765;0.9992685157924158;;-0.05057652059844546;;;;;;226.82173371127118;226.8404317036507;226.85669734916237;226.87075598376012;226.88635826636028;;;;;;;;;;;;;;;;0
;0.0;-0.1647370261136416;;226.87977765738725;226.96365962389686;227.04794871646936;;226.87977717601308;226.96185278425165;227.04400700129963;;226.8550964714573;226.90989341047987;226.96464752898487;;226.87989025692414;226.9619525100054;227.04404711076265;-0.07258128596498992;0.9992741871403501;;-0.05065103279296312;;;;;;226.80427285489392;226.82173371127118;226.8404317036507;226.85669734916237;226.87075598376012;;;;;;;;;;;;;;;;0
;0.0;-0.1623482593440997;;226.86340887180017;226.94709673939795;227.03129069196544;;226.86354235007866;226.94551728172456;227.02758247636604;;226.8387277733928;226.8935026059472;226.94824380868545;;226.86352375019894;226.9455537788771;227.0276289209421;-0.07153415238888572;0.9992846584761111;;-0.05066805501619238;;;;;;226.7897493366584;226.80427285489392;226.82173371127118;226.8404317036507;226.85669734916237;;;;;;;;;;;;;;;;0
;0.0;-0.16267374293292391;;226.84736502553406;226.93072254682068;227.01476662908615;;226.84727497578538;226.92926990013984;227.01128278350424;;226.82265965834878;226.87727883791024;226.93195898552224;;226.8471509761543;226.9291703936421;227.0112307081587;-0.07168207024715878;0.9992831792975284;;-0.050599524968939914;;;;;;226.7751677173366;226.7897493366584;226.80427285489392;226.82173371127118;226.8404317036507;;;;;;;;;;;;;;;;0
;0.0;-0.1651802170914607;;226.83104774205756;226.91423658678187;226.99817652181693;;226.83075695407624;226.9128514313839;226.99492781003784;;226.80635874755382;226.86093122517437;226.9155936424841;;226.83072261457198;226.91276058724046;226.9948253103304;-0.07279137087938814;0.9992720862912061;;-0.050555347802067746;;;;;;226.7576199664133;226.7751677173366;226.7897493366584;226.80427285489392;226.82173371127118;;;;;;;;;;;;;;;;0
;0.0;-0.16584201127528786;;226.81430099622534;226.89754173470553;226.98145162621458;;226.8141727529487;226.89627763268004;226.97841937540053;;226.78966487226361;226.84436829265974;226.89907834119006;;226.81428009994175;226.89632666399112;226.9783982909284;-0.07308881255719823;0.999269111874428;;-0.05060603241762629;;;;;;226.7389406399803;226.7576199664133;226.7751677173366;226.7897493366584;226.80427285489392;;;;;;;;;;;;;;;;0
;0.0;-0.16357621698128355;;226.79766118770783;226.88089795515063;226.96476326641874;;226.7978151312506;226.87981493260403;226.96191177568525;;226.7730483807055;226.82784490377395;226.88258561047897;;226.7978895231272;226.87991144752195;226.96197208055094;-0.07209610054618176;0.9992790389945382;;-0.05067086908063042;;;;;;226.722782049379;226.7389406399803;226.7576199664133;226.7751677173366;226.7897493366584;;;;;;;;;;;;;;;;0
;0.0;-0.1619834234209634;;226.78149961909534;226.86450506040669;226.94824773699426;;226.78161678890848;226.86355442365962;226.9455569180257;;226.7568588223579;226.81155515403444;226.86625404819856;;226.78153590081752;226.86352981615386;226.94556951652422;-0.07139898781514109;0.9992860101218486;;-0.05064598903647776;;;;;;226.70877256033916;226.722782049379;226.7389406399803;226.7576199664133;226.7751677173366;;;;;;;;;;;;;;;;0
;0.0;-0.1635959109014209;;226.76542722258;226.84818090591662;226.93178668546307;;226.7652571978183;226.84726571687943;226.92926664254006;;226.7407651222402;226.79532153637743;226.84996659789115;;226.76514695744206;226.84714482882723;226.92917770529792;-0.07211420813801883;0.9992788579186198;;-0.05057105806962957;;;;;;226.69310143826095;226.70877256033916;226.722782049379;226.7389406399803;226.7576199664133;;;;;;;;;;;;;;;;0
;0.0;-0.16582157655844298;;226.7489150234004;226.8316503555524;226.91519464943914;;226.74867504016248;226.83076485790838;226.91284970696043;;226.72428383665363;226.77887814687392;226.83353714528164;;226.7487086738167;226.8307267201201;226.9127683031806;-0.07310053825636542;0.9992689946174363;;-0.05056584775963031;;;;;;226.67461012709225;226.69310143826095;226.70877256033916;226.722782049379;226.7389406399803;;;;;;;;;;;;;;;;0
;0.0;-0.1650803182880054;;226.73214018150637;226.81498397816486;226.89851456837746;;226.73216700833368;226.81420894347903;226.89631993020677;;226.70755262807555;226.76229610259531;226.81700835083151;;226.73228787319943;226.8143005685455;226.89634302086617;-0.07277976214490334;0.999272202378551;;-0.05063891304211357;;;;;;226.65665339298317;226.67461012709225;226.69310143826095;226.70877256033916;226.722782049379;;;;;;;;;;;;;;;;0
;0.0;-0.16253233584748727;;226.71570387924092;226.79848460110597;226.88194850067867;;226.7159137747489;226.79784547538097;226.87987311441748;;226.69111144820513;226.74587053836365;226.80058387269213;;226.71592545728078;226.79790628637502;226.87993084812268;-0.0716619373178573;0.9992833806268214;;-0.05067347629276092;;;;;;226.64174051904644;226.65665339298317;226.67461012709225;226.69310143826095;226.70877256033916;;;;;;;;;;;;;;;;0
;0.0;-0.16223268576902683;;226.69966983772247;226.78220193918057;226.86553354262776;;226.699690506172;226.78161642812535;226.86357502320712;;226.675039243867;226.7296487455549;226.78430281052903;;226.69957087123092;226.78153477093494;226.8635417895188;-0.07153439969995734;0.9992846560030004;;-0.050614119075915925;;;;;;226.62751665088936;226.64174051904644;226.65665339298317;226.67461012709225;226.69310143826095;;;;;;;;;;;;;;;;0
