@relation timeseries_created_21-10-2019_prices_wn_indicators-weka.filters.unsupervised.attribute.Remove-R18

@attribute rsi_10 numeric
@attribute mom_10 numeric
@attribute ema_10 numeric
@attribute ema_20 numeric
@attribute ema_30 numeric
@attribute sma_10 numeric
@attribute sma_20 numeric
@attribute sma_30 numeric
@attribute wma_10 numeric
@attribute wma_20 numeric
@attribute wma_30 numeric
@attribute trima_10 numeric
@attribute trima_20 numeric
@attribute trima_30 numeric
@attribute roc_10 numeric
@attribute rocr_10 numeric
@attribute ppo_10 numeric
@attribute close_t-1 numeric
@attribute close_t-2 numeric
@attribute close_t-3 numeric
@attribute close_t-4 numeric
@attribute label numeric

@data
44.962753,-0.965784,227.992205,228.062255,228.213416,227.886922,228.264963,228.213416,227.876627,228.139444,228.163681,227.891278,228.379304,228.283397,-0.422286,0.995777,-0.042547,227.986275,227.937589,227.869787,227.635372,1
58.112887,1.949045,228.240095,228.185431,228.287105,228.081826,228.322335,228.214633,228.14366,228.243314,228.237371,227.930762,228.328288,228.303274,0.857075,1.008571,-0.063013,227.737727,227.986275,227.937589,227.869787,0
47.163252,0.028855,228.18567,228.162129,228.26476,228.084712,228.256644,228.15714,228.118011,228.206973,228.219701,227.964984,228.284822,228.320604,0.01266,1.000127,-0.090756,229.355603,227.737727,227.986275,227.937589,1
49.938468,-0.814183,228.209257,228.176726,228.268027,228.003294,228.28705,228.179272,228.159953,228.212569,228.229912,228.013204,228.246159,228.329302,-0.355337,0.996447,-0.070217,227.940754,229.355603,227.737727,227.986275,1
56.671942,1.981064,228.409942,228.284945,228.335446,228.2014,228.367698,228.244104,228.398087,228.310281,228.303057,228.145381,228.212577,228.327619,0.871441,1.008714,-0.037947,228.315398,227.940754,229.355603,227.737727,0
48.466566,0.260418,228.368659,228.275225,228.325604,228.227442,228.400347,228.250083,228.394721,228.29268,228.299108,228.270587,228.184709,228.315749,0.114257,1.001143,-0.086559,229.313028,228.315398,227.940754,229.355603,1
56.574493,1.859141,228.57336,228.391348,228.401017,228.413356,228.476005,228.301661,228.625097,228.396886,228.379393,228.406581,228.170172,228.309663,0.816719,1.008167,-0.032055,228.182885,229.313028,228.315398,227.940754,0
52.501701,1.042688,228.635017,228.440979,228.434014,228.517625,228.427155,228.346593,228.715846,228.438455,228.418801,228.517625,228.168261,228.309998,0.457581,1.004576,-0.007791,229.494513,228.182885,229.313028,228.315398,0
48.645381,0.398048,228.580584,228.430946,228.427668,228.55743,228.335767,228.351386,228.682757,228.429739,228.418094,228.626978,228.188328,228.305578,0.17463,1.001746,0.033236,228.912475,229.494513,228.182885,229.313028,0
44.126131,-0.374518,228.404434,228.352928,228.375028,228.519978,228.251739,228.36018,228.510817,228.360785,228.370376,228.667029,228.225226,228.298416,-0.164272,0.998357,0.02543,228.335637,228.912475,229.494513,228.182885,1
55.596182,1.685493,228.589668,228.454861,228.442653,228.688527,228.287724,228.406151,228.675043,228.472355,228.438959,228.704198,228.289319,228.297574,0.740103,1.007401,0.050606,227.611757,228.335637,228.912475,229.494513,1
61.663194,1.324442,228.969736,228.666783,228.587001,228.820971,228.451399,228.488547,229.037137,228.700195,228.585662,228.766047,228.374233,228.309924,0.577462,1.005775,0.095785,229.423221,227.611757,228.335637,228.912475,0
40.624462,-1.548114,228.501173,228.450198,228.44543,228.66616,228.375436,228.393149,228.595622,228.504123,228.450442,228.739271,228.427354,228.318507,-0.679174,0.993208,0.073497,230.680045,229.423221,227.611757,228.335637,1
49.690352,0.115235,228.488348,228.448335,228.444475,228.677683,228.340488,228.417261,228.552799,228.50938,228.45286,228.683271,228.48126,228.334914,0.050472,1.000505,0.064334,226.39264,230.680045,229.423221,227.611757,1
56.975706,1.151737,228.847696,228.640376,228.574816,228.792857,228.497129,228.509418,228.877723,228.711692,228.584957,228.721697,228.553039,228.360688,0.502255,1.005023,0.151327,228.430633,226.39264,230.680045,229.423221,0
49.294673,0.31199,228.783547,228.626519,228.569659,228.824056,228.525749,228.541583,228.823545,228.711477,228.584019,228.785886,228.609644,228.388425,0.136728,1.001367,0.171323,230.464765,228.430633,226.39264,230.680045,1
